date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-07-07,6770,14294538,431769161,30.5,30.5,30.05,30.15,-0.5,7044
2023-07-10,6770,12775317,383109709,30.05,30.2,29.85,30.0,-0.15,6717
2023-07-11,6770,5877609,177328347,30.1,30.35,30.05,30.15,0.15,3196
2023-07-12,6770,10410830,311293925,30.1,30.15,29.8,29.9,-0.25,5535
2023-07-13,6770,11063413,331245938,30.1,30.2,29.8,29.8,-0.1,4687
2023-07-14,6770,7542197,226887664,30.0,30.25,29.85,30.1,0.3,3637
2023-07-17,6770,8267740,249130769,30.0,30.3,29.95,30.1,0.0,3669
2023-07-18,6770,18396446,559634142,30.2,30.7,30.15,30.5,0.4,6448
2023-07-19,6770,14628573,441089810,30.6,30.65,30.0,30.1,-0.4,6821
2023-07-20,6770,31324056,922654086,29.8,29.8,29.05,29.8,-0.3,15095
2023-07-21,6770,16268311,477091333,29.3,29.55,29.1,29.55,-0.25,7720
2023-07-24,6770,17909714,523049030,29.4,29.6,28.95,29.6,0.05,7784
2023-07-25,6770,20128925,601010247,29.6,30.5,29.25,30.2,0.6,8955
2023-07-26,6770,11555497,344321937,30.15,30.15,29.65,29.7,-0.5,5906
2023-07-27,6770,11001731,330262659,29.75,30.15,29.75,30.0,0.3,4856
2023-07-28,6770,11020432,333137115,30.05,30.45,30.0,30.2,0.2,5314
2023-07-31,6770,14920172,447775921,30.25,30.35,29.85,29.95,-0.25,5340
2023-08-01,6770,13273089,397882473,30.05,30.2,29.8,30.0,0.05,4734
2023-08-02,6770,14707585,435532550,30.0,30.0,29.35,29.55,-0.45,7710
2023-08-04,6770,7306052,215954620,29.5,29.8,29.4,29.5,-0.05,4019
2023-08-07,6770,5667881,167909922,29.45,29.75,29.4,29.7,0.2,2672
2023-08-08,6770,13159514,384674754,29.75,29.75,29.1,29.1,-0.6,6876
2023-08-09,6770,6528171,190639739,29.05,29.35,29.05,29.2,0.1,3460
2023-08-10,6770,9527645,277000467,29.4,29.4,29.0,29.0,-0.2,5091
2023-08-11,6770,20039248,572680031,29.1,29.15,28.3,28.4,-0.6,11329
2023-08-14,6770,20134911,555516103,28.3,28.3,27.0,27.95,-0.45,11626
2023-08-15,6770,15409579,424948278,28.05,28.05,27.35,27.35,-0.6,9013
2023-08-16,6770,19072418,511731625,27.0,27.15,26.4,27.05,-0.3,10094
2023-08-17,6770,19096347,507200506,26.55,26.9,26.2,26.85,-0.2,8893
2023-08-18,6770,15451321,419576024,26.75,27.45,26.5,27.25,0.4,6849
2023-08-21,6770,10034084,271546960,27.2,27.45,26.9,26.95,-0.3,5542
2023-08-22,6770,11451091,307165753,27.05,27.1,26.7,26.8,-0.15,5025
2023-08-23,6770,8234387,223843193,26.85,27.45,26.7,27.45,0.65,3994
2023-08-24,6770,10141251,278467287,27.6,27.65,27.3,27.3,-0.15,5187
2023-08-25,6770,7231589,195356392,27.1,27.2,26.9,26.9,-0.4,4100
2023-08-28,6770,9927035,273238829,26.9,27.9,26.85,27.4,0.5,4425
2023-08-29,6770,4457331,121639170,27.4,27.55,27.15,27.3,-0.1,2528
2023-08-30,6770,8202564,227850769,27.55,27.9,27.5,27.85,0.55,3983
2023-08-31,6770,11403830,319563417,27.9,28.3,27.8,27.85,0.0,4935
