stock_id,stock_name,industry_category,market_type
3629,地心引力,光電業,
5481,新華,電子零組件業,
5450,寶聯通,電腦及週邊設備業,
3687,歐買尬,文化創意業,
6238,勝麗,其他電子類,
00835B,第一金科技債10+,上櫃指數股票型基金(ETF),
00837B,永豐15年金融債,上櫃指數股票型基金(ETF),
00798B,國泰中企A級債7+,上櫃指數股票型基金(ETF),
6497,亞獅康-KY,生技醫療業,
5349,先豐,電子零組件業,
01009T,王道圓滿R1,受益證券,
01001T,土銀富邦R1,受益證券,
01002T,土銀國泰R1,受益證券,
01003T,兆豐新光R1,受益證券,
01005T,三鼎,受益證券,
01007T,兆豐國泰R2,受益證券,
01004T,土銀富邦R2,受益證券,
01008T,駿馬R1,受益證券,
711134,中美晶群益9B購03,所有證券,
710509,建榮凱基9B購01,所有證券,
710505,泰博富邦9B購01,所有證券,
710502,泰博元大9B購01,所有證券,
710499,網家國泰9B購01,所有證券,
709994,中美晶元大9B購01,所有證券,
711133,寶雅永豐9B購01,所有證券,
711139,中美晶凱基9B購02,所有證券,
709985,大江富邦9B購02,所有證券,
709983,群聯日盛9B購01,所有證券,
709972,旺矽元大9B購01,所有證券,
709966,金居群益9B購01,所有證券,
711141,胡連凱基9B購01,所有證券,
709403,雙美國票9B購01,所有證券,
708785,信驊中信9B購01,所有證券,
711145,環球晶國票9B購02,所有證券,
73107P,原相國票9B售02,所有證券,
73193P,神盾元大9B售04,所有證券,
711140,旺矽凱基9B購01,所有證券,
710510,群聯凱基9B購03,所有證券,
711137,胡連群益9B購01,所有證券,
710590,鈺太凱基9B購01,所有證券,
711135,元太群益9B購01,所有證券,
710566,碩禾元大9B購01,所有證券,
710561,威剛元大9B購02,所有證券,
710560,宏捷科元大9B購02,所有證券,
711126,聯亞元大9B購05,所有證券,
711127,頎邦元大9B購03,所有證券,
710553,穩懋統一9B購03,所有證券,
711131,胡連永豐9B購01,所有證券,
710569,中美晶富邦9B購04,所有證券,
710534,鈺太元大9B購01,所有證券,
710575,環球晶中信9B購01,所有證券,
710533,鈊象元大9B購04,所有證券,
711132,僑威永豐9B購01,所有證券,
710516,宇峻永豐9B購01,所有證券,
8934,衡平,其他,
5304,鼎創達,電腦及週邊設備業,
