stock_id,date,trust_net,foreign_net
6770,20260707,-14000,9979729
6770,20260708,92200,-1869392
3042,20260707,133000,8458050
3042,20260708,687000,-5094041
2327,20260707,-589387,7286025
2327,20260708,-1618165,3476555
3443,20260707,184594,30577
3443,20260708,-50665,-150284
3035,20260707,0,380083
3035,20260708,1200,2904750
3008,20260707,-171986,267025
3008,20260708,1257,-200163
3583,20260707,-14000,-40769
3583,20260708,1300,11246
3661,20260707,-1000,-34990
3661,20260708,30216,-369356
2421,20260707,119000,-196233
2421,20260708,0,-22530
8150,20260707,500000,55458
8150,20260708,196000,-8454241
2454,20260707,-163042,212137
2454,20260708,198933,-1068677
3017,20260707,76200,-489595
3017,20260708,-10524,106777
5469,20260707,1390000,-2157517
5469,20260708,792000,-1092970
2308,20260707,112032,-1264841
2308,20260708,52651,-1050217
3673,20260707,0,-1259411
3673,20260708,0,1400298
2337,20260707,0,-876125
2337,20260708,39000,-5179787
2436,20260707,0,-2053646
2436,20260708,0,65514
4958,20260707,-1282012,-191840
4958,20260708,-295811,447218
2382,20260707,2343884,-4991425
2382,20260708,1111509,-3369588
3711,20260707,1039975,-3132061
3711,20260708,630967,-4601746
2344,20260707,-5491500,6651231
2344,20260708,-3579090,8383483
3231,20260707,3749541,-8749895
3231,20260708,-420,540592
2408,20260707,-464370,-3305298
2408,20260708,93854,-2742849
2317,20260707,1754025,-17933596
2317,20260708,1069221,-691728
2303,20260707,-13841956,2888688
2303,20260708,1928589,23076134
