投信買超TOP50（20260721）
============================================================
    代號 名稱                   買超           外資
---------------------------------------------
  2801 彰銀         12,929,000    965,853
  2887 台新新光金      11,868,473 -21,391,157
  2890 永豐金        11,795,360 -7,225,992
  2892 第一金         8,637,313 -2,391,577
  1303 南亞          8,437,039 -23,551,563
  2880 華南金         8,414,000 -7,097,622
  2542 興富發         7,055,000 -7,894,417
  2886 兆豐金         6,434,549 -3,030,954
  1216 統一          4,706,058 -5,084,057
  0050 元大台灣50      3,248,000 -4,226,583
  2883 凱基金         3,125,160  7,286,913
  5871 中租-KY       2,785,000  2,556,120
  2610 華航          2,727,000  6,223,978
  2884 玉山金         2,710,114 22,050,561
  2481 強茂          2,668,000 -6,999,477
  2408 南亞科         2,228,071 -2,986,159
  2317 鴻海          2,099,832 22,635,286
  2881 富邦金         2,065,182  1,636,773
  2308 台達電         1,640,409 -1,380,580
  8046 南電          1,488,100 -3,460,204
  1718 中纖          1,441,000    789,150
  3706 神達          1,392,000  3,419,086
  3702 大聯大         1,390,000   -924,847
  2912 統一超         1,159,000    187,312
  3532 台勝科         1,102,000   -363,714
  2474 可成          1,076,000 -1,236,628
  3037 欣興            978,000    951,249
  2382 廣達            969,697  5,936,494
  3711 日月光投控         821,116   -933,903
  2330 台積電           738,356  4,975,729
  2360 致茂            712,998 -1,012,403
  2377 微星            680,000  1,483,329
  2376 技嘉            654,990 -1,017,044
  6239 力成            644,000 -2,847,883
  1447 力鵬            613,000   -595,759
 00935 野村臺灣新科技50     565,000  2,835,400
  3665 貿聯-KY         530,000   -402,535
  0052 富邦科技          529,000  1,665,598
  1714 和桐            483,000 -4,833,714
  2547 日勝生           476,000   -226,000
  1444 力麗            430,000   -163,000
  4764 雙鍵            423,000   -350,102
  2441 超豐            416,000 -1,420,897
  3017 奇鋐            391,200   -425,532
  2637 慧洋-KY         380,000     41,207
  2379 瑞昱            362,663   -218,395
  3481 群創            360,841 -62,999,176
  1301 台塑            358,000 -7,796,181
  3026 禾伸堂           321,000  2,107,684
  2383 台光電           301,000   -669,424
