===========================================================================
  30分K KD策略 6個月回測報告
  日期: 2026/07/04 08:47
  成功: 55檔 / 失敗: 1檔
  正報酬: 55檔 / 負報酬: 0檔
  平均最佳報酬: +69.45%
===========================================================================

--- 0050: 47檔 | 正47檔 | 均+64.30% ---
  4958   臻鼎-KY    K=3  <45      >80      +277.53%  3筆 66.7%
  2303   聯電       K=3  <45      >80      +232.76%  3筆 66.7%
  8046   南電       K=3  不限       >80      +198.51%  6筆 83.3%
  1303   南亞       K=12 <40      >60      +174.27%  27筆 88.9%
  2454   聯發科      K=5  <20      >80      +148.87%  3筆 100.0%
  3711   日月光      K=3  不限       >80      +133.98%  4筆 50.0%
  1326   台化       K=7  <20      >80      +122.53%  6筆 100.0%
  2408   南亞科      K=12 不限       不限       +116.69%  68筆 47.1%
  1301   台塑       K=5  <20      >80      +100.23%  5筆 100.0%
  2308   台達電      K=9  <45      >80      +91.64%  9筆 66.7%
  2301   光寶科      K=14 <35      >75      +85.83%  16筆 75.0%
  2395   研華       K=3  <35      >80      +79.21%  4筆 75.0%
  2049   上銀       K=5  不限       >75      +77.59%  11筆 63.6%
  3008   大立光      K=3  <35      >80      +75.94%  5筆 40.0%
  2885   元大金      K=3  <45      >80      +71.43%  2筆 50.0%
  2356   英業達      K=7  不限       >65      +64.49%  40筆 60.0%
  8454   富邦媒      K=14 不限       >80      +57.52%  19筆 57.9%
  3034   聯詠       K=5  <25      >80      +56.14%  8筆 87.5%
  2330   台積電      K=3  <35      >75      +54.64%  7筆 85.7%
  2353   宏碁       K=3  <20      >75      +53.69%  3筆 33.3%
  1590   亞德客-KY   K=14 不限       >80      +53.52%  8筆 62.5%
  2887   台新金      K=3  不限       >80      +52.56%  4筆 75.0%
  9933   中鼎       K=3  <35      >75      +49.46%  5筆 80.0%
  2891   中信金      K=5  <35      >75      +46.96%  6筆 83.3%
  2357   華碩       K=12 不限       >60      +44.59%  42筆 52.4%
  2382   廣達       K=9  不限       >55      +43.50%  49筆 65.3%
  2882   國泰金      K=3  <25      >75      +42.72%  3筆 33.3%
  2317   鴻海       K=3  <20      >80      +41.21%  3筆 33.3%
  3231   緯創       K=14 <30      >50      +40.16%  22筆 63.6%
  2881   富邦金      K=3  <25      >80      +33.67%  3筆 33.3%
  2105   正新       K=9  <25      >80      +32.19%  9筆 88.9%
  2002   中鋼       K=7  <20      >55      +28.28%  12筆 66.7%
  2610   華航       K=14 <40      >80      +27.77%  11筆 72.7%
  1476   儒鴻       K=3  <25      >60      +21.96%  6筆 100.0%
  1402   遠東新      K=14 <45      >80      +21.53%  11筆 72.7%
  2474   可成       K=7  <35      >50      +20.92%  24筆 54.2%
  5871   中租-KY    K=9  <40      >70      +20.73%  14筆 57.1%
  2886   兆豐金      K=3  <50      >60      +18.39%  21筆 76.2%
  4904   遠傳       K=5  不限       >80      +18.24%  8筆 50.0%
  1101   台泥       K=3  <45      >60      +17.71%  21筆 57.1%
  2603   長榮       K=5  不限       >60      +17.53%  28筆 60.7%
  9921   巨大       K=5  <25      >65      +14.77%  11筆 63.6%
  2207   和泰車      K=5  <20      >70      +12.46%  7筆 57.1%
  2884   玉山金      K=9  <40      >50      +8.70%  23筆 69.6%
  2412   中華電      K=7  <45      >75      +8.14%  13筆 61.5%
  5880   合庫金      K=14 <45      >80      +5.63%  10筆 50.0%
  1216   統一       K=9  <20      >70      +5.19%  7筆 85.7%

--- 永豐金熱門池: 7檔 | 正7檔 | 均+99.69% ---
  3189   景碩       K=12 <50      >75      +241.42%  25筆 80.0%
  3037   欣興       K=3  不限       >80      +199.74%  6筆 66.7%
  2344   華邦電      K=9  <25      >80      +110.20%  10筆 70.0%
  6770   力積電      K=7  不限       >80      +84.28%  12筆 66.7%
  2618   長榮航      K=5  <30      >75      +35.52%  7筆 85.7%
  2609   陽明       K=7  <25      >80      +16.74%  5筆 60.0%
  2892   第一金      K=5  不限       >80      +9.90%  6筆 50.0%

--- 亞翔: 1檔 | 正1檔 | 均+100.22% ---
  6139   亞翔       K=12 <50      >70      +100.22%  21筆 90.5%

--- Top 10 ---
  #1 臻鼎-KY(4958) K=3 買<45 賣>80 +277.53% 3筆 66.7%
  #2 景碩(3189) K=12 買<50 賣>75 +241.42% 25筆 80.0%
  #3 聯電(2303) K=3 買<45 賣>80 +232.76% 3筆 66.7%
  #4 欣興(3037) K=3 買不限 賣>80 +199.74% 6筆 66.7%
  #5 南電(8046) K=3 買不限 賣>80 +198.51% 6筆 83.3%
  #6 南亞(1303) K=12 買<40 賣>60 +174.27% 27筆 88.9%
  #7 聯發科(2454) K=5 買<20 賣>80 +148.87% 3筆 100.0%
  #8 日月光(3711) K=3 買不限 賣>80 +133.98% 4筆 50.0%
  #9 台化(1326) K=7 買<20 賣>80 +122.53% 6筆 100.0%
  #10 南亞科(2408) K=12 買不限 賣不限 +116.69% 68筆 47.1%

--- Bottom 5 ---
  #1 第一金(2892) K=5 9.90% 6筆
  #2 玉山金(2884) K=9 8.70% 23筆
  #3 中華電(2412) K=7 8.14% 13筆
  #4 合庫金(5880) K=14 5.63% 10筆
  #5 統一(1216) K=9 5.19% 7筆

--- 失敗: 1檔 ---
  新光金(2888): 資料不足
