# 自選觀察清單
# 格式：代號, 名稱, K值, 買入門檻(留空=不限), 賣出門檻(留空=不限)
# 先前庫存股(已全部賣出，改列觀察)
3711,日月光,3,,60
4958,臻鼎KY,3,,80
3042,晶技,3,50,70
2337,旺宏,7,35,50
2436,偉詮電,3,50,50
3673,TPKKY,3,,55
# 核心持股（台積電、聯發科）
2330,台積電,7,,
2454,聯發科,5,,
6139,亞翔,3,50,65
2303,聯電,3,,75
2317,鴻海,5,,
8150,南茂,3,,55
6284,佳邦,5,35,70
6213,聯茂,3,,65
1303,南亞,3,40,70
1802,台玻,5,50,
6271,同欣電,7,50,70
6451,訊芯KY,5,45,55
2327,國巨,5,,75
6173,信昌電,3,,80
5425,台半,3,,50
3131,弘塑,3,35,60
3583,辛耘,3,,55
6239,力成,5,40,60
2344,華邦電,5,,50
2408,南亞科,5,,50
6770,力積電,5,50,50
# 新增觀察股(2026/07/02下午新增)
5351,鈺創,9,,
2369,菱生,9,,
8016,矽創,9,,
2464,盟立,9,,
3588,通嘉,9,,
00947,台新臺灣IC設計,9,,
3545,敦泰,9,,
3003,健和興,9,,
6693,廣閎科,9,,
6147,頎邦,9,,
2316,楠梓電,9,,
8358,金居,9,,
4961,天鈺,9,,
6187,萬潤,9,,
2458,義隆,9,,
3234,光環,9,,
6155,鈞寶,9,,
8121,越峰,9,,
6257,矽格,9,,
3026,禾伸堂,9,,
6435,大中,9,,
2493,揚博,9,,
5493,三聯,9,,
8086,宏捷科,9,,
2492,華新科,9,,
8028,昇陽半導體,9,,
3455,由田,9,,
2481,強茂,9,,
6944,兆聯實業,9,,
3532,台勝科,9,,
2308,台達電,9,,
